"demographic_id","demographic_label","series_date","total_n","data.Somewhat.Approve","data.Strongly.Approve","data.Somewhat.Disapprove","data.Strongly.Disapprove","data.Don.t.Know...No.Opinion"
"xdemAll","All Respondents","2020-02-14",283,20,17,8,18,38
"xdemAll","All Respondents","2020-02-15",266,21,15,10,11,42
"xdemAll","All Respondents","2020-02-16",268,20,14,9,14,43
"xdemAll","All Respondents","2020-02-17",274,22,11,11,16,40
"xdemAll","All Respondents","2020-02-18",286,21,11,12,17,39
"xdemAll","All Respondents","2020-02-19",301,23,15,9,14,39
"xdemAll","All Respondents","2020-02-20",256,20,16,9,12,43
"xdemAll","All Respondents","2020-02-21",309,23,15,8,13,41
"xdemAll","All Respondents","2020-02-22",228,22,11,10,17,40
"xdemAll","All Respondents","2020-02-23",235,25,16,8,12,39
"xdemAll","All Respondents","2020-02-24",248,14,19,9,14,44
"xdemAll","All Respondents","2020-02-25",259,24,13,8,16,39
"xdemAll","All Respondents","2020-02-26",249,15,17,7,14,46
"xdemAll","All Respondents","2020-02-27",273,25,16,9,14,35
"xdemAll","All Respondents","2020-02-28",253,22,15,5,17,41
"xdemAll","All Respondents","2020-02-29",264,23,13,8,13,43
"xdemAll","All Respondents","2020-03-01",253,20,15,9,14,41
"xdemAll","All Respondents","2020-03-02",287,18,16,11,18,37
"xdemAll","All Respondents","2020-03-03",250,20,15,6,14,44
"xdemAll","All Respondents","2020-03-04",214,22,13,11,17,37
"xdemAll","All Respondents","2020-03-05",265,22,11,11,13,42
"xdemAll","All Respondents","2020-03-06",252,17,18,11,13,42
"xdemAll","All Respondents","2020-03-07",266,20,13,11,16,39
"xdemAll","All Respondents","2020-03-08",282,23,13,9,17,37
"xdemAll","All Respondents","2020-03-09",237,23,17,6,13,41
"xdemAll","All Respondents","2020-03-10",261,19,15,9,12,45
"xdemAll","All Respondents","2020-03-11",288,24,10,9,19,38
"xdemAll","All Respondents","2020-03-12",211,24,12,7,14,43
"xdemAll","All Respondents","2020-03-13",166,28,13,9,12,38
"xdemAll","All Respondents","2020-03-14",221,20,11,13,12,43
"xdemAll","All Respondents","2020-03-15",256,23,15,11,15,36
"xdemAll","All Respondents","2020-03-16",236,24,7,14,16,40
"xdemAll","All Respondents","2020-03-17",286,21,15,10,14,40
"xdemAll","All Respondents","2020-03-18",242,24,16,5,19,36
"xdemAll","All Respondents","2020-03-19",205,19,13,9,24,36
"xdemAll","All Respondents","2020-03-20",210,23,14,12,14,38
"xdemAll","All Respondents","2020-03-21",176,19,19,8,16,38
"xdemAll","All Respondents","2020-03-22",195,21,13,10,17,39
"xdemAll","All Respondents","2020-03-23",195,27,12,11,22,28
"xdemAll","All Respondents","2020-03-24",225,19,10,12,24,35
"xdemAll","All Respondents","2020-03-25",218,24,11,14,17,34
"xdemAll","All Respondents","2020-03-26",228,25,12,9,22,31
"xdemAll","All Respondents","2020-03-27",186,22,9,11,22,36
"xdemAll","All Respondents","2020-03-28",219,21,8,11,20,40
"xdemAll","All Respondents","2020-03-29",235,20,11,14,17,38
"xdemAll","All Respondents","2020-03-30",225,18,10,8,18,46
"xdemAll","All Respondents","2020-03-31",231,27,9,13,18,32
"xdemAll","All Respondents","2020-04-01",179,21,8,9,23,39
"xdemAll","All Respondents","2020-04-02",186,23,9,11,21,36
"xdemAll","All Respondents","2020-04-03",185,29,6,8,21,35
"xdemAll","All Respondents","2020-04-04",152,26,10,12,15,37
"xdemAll","All Respondents","2020-04-05",187,23,12,9,17,39
"xdemAll","All Respondents","2020-04-06",197,21,12,6,22,39
"xdemAll","All Respondents","2020-04-07",161,16,13,12,21,38
"xdemAll","All Respondents","2020-04-08",164,24,11,13,17,35
"xdemAll","All Respondents","2020-04-09",167,17,13,17,22,32
"xdemAll","All Respondents","2020-04-10",215,18,11,10,24,37
"xdemAll","All Respondents","2020-04-11",210,25,9,9,20,36
"xdemAll","All Respondents","2020-04-12",222,18,10,11,20,41
"xdemAll","All Respondents","2020-04-13",193,22,9,11,21,37
"xdemAll","All Respondents","2020-04-14",213,21,9,15,20,36
"xdemAll","All Respondents","2020-04-15",155,22,9,15,21,33
"xdemAll","All Respondents","2020-04-16",152,20,6,16,19,40
"xdemAll","All Respondents","2020-04-17",204,21,8,11,24,36
"xdemAll","All Respondents","2020-04-18",200,24,8,9,24,34
"xdemAll","All Respondents","2020-04-19",185,19,11,12,25,34
"xdemAll","All Respondents","2020-04-20",206,22,7,8,25,39
"xdemAll","All Respondents","2020-04-21",174,22,12,8,20,37
"xdemAll","All Respondents","2020-04-22",168,24,10,12,16,38
"xdemAll","All Respondents","2020-04-23",181,20,8,9,18,45
"xdemAll","All Respondents","2020-04-24",151,25,8,14,24,29
"xdemAll","All Respondents","2020-04-25",130,23,11,12,22,32
"xdemAll","All Respondents","2020-04-26",187,23,11,10,19,37
"xdemAll","All Respondents","2020-04-27",183,23,7,7,19,43
"xdemAll","All Respondents","2020-04-28",198,15,10,13,25,37
"xdemAll","All Respondents","2020-04-29",194,21,7,14,21,37
"xdemAll","All Respondents","2020-04-30",194,16,15,10,19,41
"xdemAll","All Respondents","2020-05-01",201,20,11,14,23,32
"xdemAll","All Respondents","2020-05-02",147,21,10,10,21,39
"xdemAll","All Respondents","2020-05-03",207,21,5,10,18,46
"xdemAll","All Respondents","2020-05-04",220,19,9,12,24,37
"xdemAll","All Respondents","2020-05-05",145,15,6,10,25,45
"xdemAll","All Respondents","2020-05-06",128,22,4,18,21,35
"xdemAll","All Respondents","2020-05-07",171,24,3,10,27,37
"xdemAll","All Respondents","2020-05-08",150,20,7,14,21,39
"xdemAll","All Respondents","2020-05-09",142,21,9,9,23,38
"xdemAll","All Respondents","2020-05-10",193,23,11,10,23,33
"xdemAll","All Respondents","2020-05-11",191,28,7,13,19,33
"xdemAll","All Respondents","2020-05-12",191,25,8,15,20,33
"xdemAll","All Respondents","2020-05-13",188,20,11,9,27,33
"xdemAll","All Respondents","2020-05-14",159,22,11,10,18,38
"xdemAll","All Respondents","2020-05-15",164,15,9,9,21,46
"xdemAll","All Respondents","2020-05-16",128,21,11,11,17,40
"xdemAll","All Respondents","2020-05-17",192,19,12,10,19,41
"xdemAll","All Respondents","2020-05-18",193,21,14,9,22,34
"xdemAll","All Respondents","2020-05-19",143,22,6,10,21,41
"xdemGender","Gender: Male","2020-01-09",127,16,14,14,17,40
"xdemGender","Gender: Male","2020-01-10",142,18,14,16,12,40
"xdemGender","Gender: Male","2020-01-11",122,17,12,9,13,49
"xdemGender","Gender: Male","2020-01-12",141,19,7,12,14,47
"xdemGender","Gender: Male","2020-01-13",154,19,13,9,8,51
"xdemGender","Gender: Male","2020-01-14",145,19,14,13,11,43
"xdemGender","Gender: Male","2020-01-15",127,19,14,12,10,45
"xdemGender","Gender: Male","2020-01-16",127,26,9,11,13,41
"xdemGender","Gender: Male","2020-01-17",116,22,9,12,8,49
"xdemGender","Gender: Male","2020-01-18",109,19,10,11,9,51
"xdemGender","Gender: Male","2020-01-19",112,14,12,12,7,55
"xdemGender","Gender: Male","2020-01-20",138,27,8,9,8,48
"xdemGender","Gender: Male","2020-01-21",139,19,14,11,9,46
"xdemGender","Gender: Male","2020-01-22",121,22,10,9,14,45
"xdemGender","Gender: Male","2020-01-23",123,17,14,9,16,44
"xdemGender","Gender: Male","2020-01-24",158,17,19,8,10,46
"xdemGender","Gender: Male","2020-01-25",145,22,14,13,9,42
"xdemGender","Gender: Male","2020-01-26",127,20,13,9,8,50
"xdemGender","Gender: Male","2020-01-27",138,15,10,16,13,46
"xdemGender","Gender: Male","2020-01-28",109,25,10,13,13,39
"xdemGender","Gender: Male","2020-01-29",126,17,16,6,16,46
"xdemGender","Gender: Male","2020-01-30",140,22,13,7,13,45
"xdemGender","Gender: Male","2020-01-31",122,26,14,11,22,27
"xdemGender","Gender: Male","2020-02-01",112,17,18,9,19,37
"xdemGender","Gender: Male","2020-02-02",116,25,14,11,9,40
"xdemGender","Gender: Male","2020-02-03",133,25,14,14,10,37
"xdemGender","Gender: Male","2020-02-04",102,30,9,6,17,37
"xdemGender","Gender: Male","2020-02-05",150,22,11,10,15,42
"xdemGender","Gender: Male","2020-02-06",115,18,11,9,17,44
"xdemGender","Gender: Male","2020-02-07",113,25,10,9,13,42
"xdemGender","Gender: Male","2020-02-08",138,25,8,9,16,41
"xdemGender","Gender: Male","2020-02-09",130,25,10,12,10,42
"xdemGender","Gender: Male","2020-02-10",145,15,16,15,14,40
"xdemGender","Gender: Male","2020-02-11",123,27,12,12,17,32
"xdemGender","Gender: Male","2020-02-12",120,21,21,7,12,38
"xdemGender","Gender: Male","2020-02-13",123,15,19,9,14,43
"xdemGender","Gender: Male","2020-02-14",147,17,21,8,16,38
"xdemGender","Gender: Male","2020-02-15",122,16,19,13,12,41
"xdemGender","Gender: Male","2020-02-16",136,21,15,12,17,35
"xdemGender","Gender: Male","2020-02-17",130,22,17,11,19,31
"xdemGender","Gender: Male","2020-02-18",129,24,9,17,20,30
"xdemGender","Gender: Male","2020-02-19",145,26,15,7,18,33
"xdemGender","Gender: Male","2020-02-20",124,22,17,11,14,36
"xdemGender","Gender: Male","2020-02-21",154,24,17,8,13,39
"xdemGender","Gender: Male","2020-02-22",112,23,11,13,16,37
"xdemGender","Gender: Male","2020-02-23",111,23,17,13,14,32
"xdemGender","Gender: Male","2020-02-24",126,15,25,12,12,36
"xdemGender","Gender: Male","2020-02-25",131,29,14,10,13,33
"xdemGender","Gender: Male","2020-02-26",121,17,23,9,18,34
"xdemGender","Gender: Male","2020-02-27",142,29,18,12,12,28
"xdemGender","Gender: Male","2020-02-28",116,21,18,7,23,32
"xdemGender","Gender: Male","2020-02-29",124,28,14,9,16,33
"xdemGender","Gender: Male","2020-03-01",120,24,15,9,20,33
"xdemGender","Gender: Male","2020-03-02",144,20,20,12,22,25
"xdemGender","Gender: Male","2020-03-03",112,27,16,8,15,35
"xdemGender","Gender: Male","2020-03-04",97,19,17,17,24,23
"xdemGender","Gender: Male","2020-03-05",135,24,13,13,15,35
"xdemGender","Gender: Male","2020-03-06",127,17,20,16,11,35
"xdemGender","Gender: Male","2020-03-07",123,24,17,11,20,27
"xdemGender","Gender: Male","2020-03-08",160,24,13,10,20,34
"xdemGender","Gender: Male","2020-03-09",120,24,20,8,14,34
"xdemGender","Gender: Male","2020-03-10",131,18,17,11,15,39
"xdemGender","Gender: Male","2020-03-11",162,21,9,12,23,35
"xdemGender","Gender: Male","2020-03-12",97,32,12,6,19,32
"xdemGender","Gender: Male","2020-03-13",77,31,15,13,12,29
"xdemGender","Gender: Male","2020-03-14",104,24,17,14,12,34
"xdemGender","Gender: Male","2020-03-15",139,24,19,11,20,27
"xdemGender","Gender: Male","2020-03-16",113,20,6,15,22,37
"xdemGender","Gender: Male","2020-03-17",147,27,18,15,15,26
"xdemGender","Gender: Male","2020-03-18",119,27,16,5,19,32
"xdemGender","Gender: Male","2020-03-19",116,16,11,12,27,34
"xdemGender","Gender: Male","2020-03-20",105,26,14,13,17,29
"xdemGender","Gender: Male","2020-03-21",91,22,20,5,16,37
"xdemGender","Gender: Male","2020-03-22",96,17,16,8,22,37
"xdemGender","Gender: Male","2020-03-23",105,28,12,10,27,23
"xdemGender","Gender: Male","2020-03-24",115,15,12,15,29,29
"xdemGender","Gender: Male","2020-03-25",96,21,11,13,26,29
"xdemGender","Gender: Male","2020-03-26",112,21,13,9,22,34
"xdemGender","Gender: Male","2020-03-27",101,25,11,13,20,31
"xdemGender","Gender: Male","2020-03-28",112,23,7,14,23,33
"xdemGender","Gender: Male","2020-03-29",106,20,11,13,19,37
"xdemGender","Gender: Male","2020-03-30",102,13,16,7,20,43
"xdemGender","Gender: Male","2020-03-31",92,28,10,12,27,22
"xdemGender","Gender: Male","2020-04-01",75,17,13,10,30,30
"xdemGender","Gender: Male","2020-04-02",87,20,15,14,26,25
"xdemGender","Gender: Male","2020-04-03",89,34,8,5,26,26
"xdemGender","Gender: Male","2020-04-04",71,29,12,13,14,33
"xdemGender","Gender: Male","2020-04-05",90,28,12,9,21,30
"xdemGender","Gender: Male","2020-04-06",95,21,18,6,26,29
"xdemGender","Gender: Male","2020-04-07",79,14,18,13,25,30
"xdemGender","Gender: Male","2020-04-08",73,17,14,13,22,35
"xdemGender","Gender: Male","2020-04-09",76,16,11,20,27,25
"xdemGender","Gender: Male","2020-04-10",92,20,12,15,18,35
"xdemGender","Gender: Male","2020-04-11",101,28,11,9,21,32
"xdemGender","Gender: Male","2020-04-12",96,20,10,10,23,37
"xdemGender","Gender: Male","2020-04-13",94,21,14,12,16,38
"xdemGender","Gender: Male","2020-04-14",110,21,11,19,17,32
"xdemGender","Gender: Male","2020-04-15",75,26,9,16,20,30
"xdemGender","Gender: Male","2020-04-16",71,24,5,19,18,34
"xdemGender","Gender: Male","2020-04-17",93,29,10,12,30,19
"xdemGender","Gender: Male","2020-04-18",108,23,9,10,29,28
"xdemGender","Gender: Male","2020-04-19",83,24,16,11,29,20
"xdemGender","Gender: Male","2020-04-20",88,18,9,9,34,30
"xdemGender","Gender: Male","2020-04-21",87,30,11,3,26,30
"xdemGender","Gender: Male","2020-04-22",76,23,14,6,21,36
"xdemGender","Gender: Male","2020-04-23",78,18,12,6,23,42
"xdemGender","Gender: Male","2020-04-24",61,25,12,17,29,17
"xdemGender","Gender: Male","2020-04-25",58,21,18,18,23,19
"xdemGender","Gender: Male","2020-04-26",99,22,14,10,19,34
"xdemGender","Gender: Male","2020-04-27",85,25,11,6,25,33
"xdemGender","Gender: Male","2020-04-28",105,15,14,14,27,31
"xdemGender","Gender: Male","2020-04-29",87,19,9,23,19,30
"xdemGender","Gender: Male","2020-04-30",95,18,12,12,25,34
"xdemGender","Gender: Male","2020-05-01",87,13,14,17,27,29
"xdemGender","Gender: Male","2020-05-02",73,25,15,6,22,32
"xdemGender","Gender: Male","2020-05-03",99,16,9,14,17,44
"xdemGender","Gender: Male","2020-05-04",97,18,5,12,34,31
"xdemGender","Gender: Male","2020-05-05",69,21,9,10,31,28
"xdemGender","Gender: Male","2020-05-06",49,23,6,18,16,38
"xdemGender","Gender: Male","2020-05-07",71,27,2,16,27,27
"xdemGender","Gender: Male","2020-05-08",62,17,10,15,30,28
"xdemGender","Gender: Male","2020-05-09",63,24,12,4,24,36
"xdemGender","Gender: Male","2020-05-10",75,19,11,16,23,30
"xdemGender","Gender: Male","2020-05-11",89,24,9,13,23,31
"xdemGender","Gender: Male","2020-05-12",95,28,6,19,28,20
"xdemGender","Gender: Male","2020-05-13",98,24,14,5,28,29
"xdemGender","Gender: Male","2020-05-14",60,16,13,11,17,44
"xdemGender","Gender: Male","2020-05-15",74,11,12,12,22,42
"xdemGender","Gender: Male","2020-05-16",57,16,18,12,22,32
"xdemGender","Gender: Male","2020-05-17",89,11,19,10,21,39
"xdemGender","Gender: Male","2020-05-18",84,18,19,8,26,29
"xdemGender","Gender: Male","2020-05-19",66,24,6,15,17,38
"xdemGender","Gender: Female","2020-01-09",124,12,7,6,8,67
"xdemGender","Gender: Female","2020-01-10",118,19,8,8,6,58
"xdemGender","Gender: Female","2020-01-11",134,19,5,8,5,63
"xdemGender","Gender: Female","2020-01-12",130,18,3,6,13,59
"xdemGender","Gender: Female","2020-01-13",133,13,11,9,8,60
"xdemGender","Gender: Female","2020-01-14",151,17,6,8,7,63
"xdemGender","Gender: Female","2020-01-15",128,17,7,11,5,60
"xdemGender","Gender: Female","2020-01-16",135,19,8,9,4,59
"xdemGender","Gender: Female","2020-01-17",124,16,9,9,7,59
"xdemGender","Gender: Female","2020-01-18",132,18,6,9,4,63
"xdemGender","Gender: Female","2020-01-19",133,20,4,7,4,65
"xdemGender","Gender: Female","2020-01-20",166,17,5,7,7,65
"xdemGender","Gender: Female","2020-01-21",156,18,8,6,7,60
"xdemGender","Gender: Female","2020-01-22",150,19,10,10,5,57
"xdemGender","Gender: Female","2020-01-23",150,19,9,7,9,56
"xdemGender","Gender: Female","2020-01-24",132,17,10,9,9,56
"xdemGender","Gender: Female","2020-01-25",120,14,16,7,9,54
"xdemGender","Gender: Female","2020-01-26",128,19,8,2,7,64
"xdemGender","Gender: Female","2020-01-27",127,26,10,10,12,43
"xdemGender","Gender: Female","2020-01-28",170,13,10,5,12,59
"xdemGender","Gender: Female","2020-01-29",158,19,7,8,9,56
"xdemGender","Gender: Female","2020-01-30",137,21,9,9,13,49
"xdemGender","Gender: Female","2020-01-31",115,13,14,6,10,58
"xdemGender","Gender: Female","2020-02-01",135,14,10,7,12,57
"xdemGender","Gender: Female","2020-02-02",128,17,14,6,14,49
"xdemGender","Gender: Female","2020-02-03",128,22,9,8,16,45
"xdemGender","Gender: Female","2020-02-04",153,15,8,11,15,51
"xdemGender","Gender: Female","2020-02-05",148,13,12,4,10,60
"xdemGender","Gender: Female","2020-02-06",133,18,9,7,9,57
"xdemGender","Gender: Female","2020-02-07",118,17,16,8,12,46
"xdemGender","Gender: Female","2020-02-08",152,15,17,9,10,48
"xdemGender","Gender: Female","2020-02-09",146,21,12,3,10,55
"xdemGender","Gender: Female","2020-02-10",149,18,11,9,12,49
"xdemGender","Gender: Female","2020-02-11",134,20,17,3,11,50
"xdemGender","Gender: Female","2020-02-12",129,24,12,7,9,48
"xdemGender","Gender: Female","2020-02-13",144,26,11,2,16,46
"xdemGender","Gender: Female","2020-02-14",136,23,12,7,20,38
"xdemGender","Gender: Female","2020-02-15",144,26,12,8,11,44
"xdemGender","Gender: Female","2020-02-16",132,19,13,7,10,52
"xdemGender","Gender: Female","2020-02-17",145,21,6,11,14,48
"xdemGender","Gender: Female","2020-02-18",158,19,12,8,14,46
"xdemGender","Gender: Female","2020-02-19",157,19,14,11,11,45
"xdemGender","Gender: Female","2020-02-20",133,17,15,8,10,50
"xdemGender","Gender: Female","2020-02-21",156,21,13,9,14,44
"xdemGender","Gender: Female","2020-02-22",117,21,11,8,18,42
"xdemGender","Gender: Female","2020-02-23",125,27,15,4,9,45
"xdemGender","Gender: Female","2020-02-24",123,13,12,7,16,53
"xdemGender","Gender: Female","2020-02-25",128,19,12,6,18,45
"xdemGender","Gender: Female","2020-02-26",129,14,12,6,11,57
"xdemGender","Gender: Female","2020-02-27",132,21,14,5,17,43
"xdemGender","Gender: Female","2020-02-28",138,22,13,4,12,48
"xdemGender","Gender: Female","2020-02-29",141,19,12,8,10,52
"xdemGender","Gender: Female","2020-03-01",134,18,16,9,9,47
"xdemGender","Gender: Female","2020-03-02",144,16,12,11,13,48
"xdemGender","Gender: Female","2020-03-03",139,15,14,5,13,52
"xdemGender","Gender: Female","2020-03-04",117,25,10,6,11,48
"xdemGender","Gender: Female","2020-03-05",131,21,10,9,11,49
"xdemGender","Gender: Female","2020-03-06",125,18,15,5,14,48
"xdemGender","Gender: Female","2020-03-07",143,17,10,11,13,49
"xdemGender","Gender: Female","2020-03-08",122,23,14,9,13,41
"xdemGender","Gender: Female","2020-03-09",118,21,13,5,12,49
"xdemGender","Gender: Female","2020-03-10",130,19,14,7,9,52
"xdemGender","Gender: Female","2020-03-11",127,27,12,5,14,42
"xdemGender","Gender: Female","2020-03-12",115,17,13,7,11,52
"xdemGender","Gender: Female","2020-03-13",90,26,11,5,13,46
"xdemGender","Gender: Female","2020-03-14",118,17,7,13,11,52
"xdemGender","Gender: Female","2020-03-15",117,22,12,11,9,47
"xdemGender","Gender: Female","2020-03-16",123,27,8,13,10,42
"xdemGender","Gender: Female","2020-03-17",139,15,12,4,12,56
"xdemGender","Gender: Female","2020-03-18",123,20,17,5,19,39
"xdemGender","Gender: Female","2020-03-19",90,21,16,5,20,38
"xdemGender","Gender: Female","2020-03-20",105,20,13,10,10,47
"xdemGender","Gender: Female","2020-03-21",86,16,18,11,16,39
"xdemGender","Gender: Female","2020-03-22",99,24,10,12,13,41
"xdemGender","Gender: Female","2020-03-23",90,27,12,11,16,34
"xdemGender","Gender: Female","2020-03-24",110,22,8,9,19,42
"xdemGender","Gender: Female","2020-03-25",123,26,11,15,10,38
"xdemGender","Gender: Female","2020-03-26",117,28,11,10,22,29
"xdemGender","Gender: Female","2020-03-27",86,19,6,8,24,43
"xdemGender","Gender: Female","2020-03-28",108,19,10,8,16,46
"xdemGender","Gender: Female","2020-03-29",129,20,11,15,15,39
"xdemGender","Gender: Female","2020-03-30",124,22,5,9,16,47
"xdemGender","Gender: Female","2020-03-31",139,27,9,14,12,39
"xdemGender","Gender: Female","2020-04-01",104,24,5,8,17,45
"xdemGender","Gender: Female","2020-04-02",100,27,4,8,15,46
"xdemGender","Gender: Female","2020-04-03",96,24,4,11,17,43
"xdemGender","Gender: Female","2020-04-04",81,23,7,11,17,42
"xdemGender","Gender: Female","2020-04-05",97,19,12,9,13,47
"xdemGender","Gender: Female","2020-04-06",103,21,7,7,19,47
"xdemGender","Gender: Female","2020-04-07",82,18,8,12,18,45
"xdemGender","Gender: Female","2020-04-08",91,29,9,13,14,35
"xdemGender","Gender: Female","2020-04-09",92,17,14,14,17,38
"xdemGender","Gender: Female","2020-04-10",124,16,10,6,29,39
"xdemGender","Gender: Female","2020-04-11",109,22,7,9,20,41
"xdemGender","Gender: Female","2020-04-12",127,16,10,12,18,44
"xdemGender","Gender: Female","2020-04-13",100,23,4,10,27,36
"xdemGender","Gender: Female","2020-04-14",103,21,7,10,22,39
"xdemGender","Gender: Female","2020-04-15",80,18,10,13,22,36
"xdemGender","Gender: Female","2020-04-16",82,17,6,13,20,45
"xdemGender","Gender: Female","2020-04-17",111,14,7,10,18,50
"xdemGender","Gender: Female","2020-04-18",93,25,7,8,19,40
"xdemGender","Gender: Female","2020-04-19",103,15,6,13,21,45
"xdemGender","Gender: Female","2020-04-20",118,25,5,7,18,45
"xdemGender","Gender: Female","2020-04-21",87,15,14,13,14,44
"xdemGender","Gender: Female","2020-04-22",93,24,7,17,13,39
"xdemGender","Gender: Female","2020-04-23",104,22,6,12,14,47
"xdemGender","Gender: Female","2020-04-24",91,25,5,13,20,37
"xdemGender","Gender: Female","2020-04-25",72,24,5,7,22,43
"xdemGender","Gender: Female","2020-04-26",88,24,7,10,20,39
"xdemGender","Gender: Female","2020-04-27",98,22,4,9,14,51
"xdemGender","Gender: Female","2020-04-28",94,16,5,12,23,43
"xdemGender","Gender: Female","2020-04-29",107,23,5,6,23,43
"xdemGender","Gender: Female","2020-04-30",100,14,18,8,13,47
"xdemGender","Gender: Female","2020-05-01",114,26,10,11,20,34
"xdemGender","Gender: Female","2020-05-02",74,17,5,13,20,45
"xdemGender","Gender: Female","2020-05-03",109,25,2,7,19,47
"xdemGender","Gender: Female","2020-05-04",124,20,12,11,16,41
"xdemGender","Gender: Female","2020-05-05",76,9,3,9,19,60
"xdemGender","Gender: Female","2020-05-06",79,22,3,17,24,33
"xdemGender","Gender: Female","2020-05-07",101,21,4,6,26,43
"xdemGender","Gender: Female","2020-05-08",88,22,4,13,15,46
"xdemGender","Gender: Female","2020-05-09",79,19,7,12,22,40
"xdemGender","Gender: Female","2020-05-10",119,26,11,5,23,35
"xdemGender","Gender: Female","2020-05-11",103,33,5,12,14,36
"xdemGender","Gender: Female","2020-05-12",96,22,10,10,12,46
"xdemGender","Gender: Female","2020-05-13",91,16,8,13,26,38
"xdemGender","Gender: Female","2020-05-14",99,26,10,10,20,34
"xdemGender","Gender: Female","2020-05-15",91,19,6,7,19,49
"xdemGender","Gender: Female","2020-05-16",71,25,5,11,13,46
"xdemGender","Gender: Female","2020-05-17",104,26,6,10,17,42
"xdemGender","Gender: Female","2020-05-18",109,23,10,10,19,38
"xdemGender","Gender: Female","2020-05-19",78,20,6,6,24,44
"age","Age: 18-29","2020-01-09",58,24,3,5,12,56
"age","Age: 18-29","2020-01-10",62,14,10,16,6,54
"age","Age: 18-29","2020-01-11",53,20,14,7,2,57
"age","Age: 18-29","2020-01-12",73,15,4,11,15,56
"age","Age: 18-29","2020-01-13",81,6,8,8,13,65
"age","Age: 18-29","2020-01-14",66,15,6,19,9,52
"age","Age: 18-29","2020-01-15",63,16,13,14,5,51
"age","Age: 18-29","2020-01-16",69,22,10,11,8,50
"age","Age: 18-29","2020-01-17",48,11,10,14,7,58
"age","Age: 18-29","2020-01-18",49,13,9,3,4,70
"age","Age: 18-29","2020-01-19",56,26,5,4,8,57
"age","Age: 18-29","2020-01-20",63,28,2,11,7,51
"age","Age: 18-29","2020-01-21",64,15,10,4,13,59
"age","Age: 18-29","2020-01-22",55,16,5,7,8,63
"age","Age: 18-29","2020-01-23",62,16,10,6,14,54
"age","Age: 18-29","2020-01-24",66,15,7,9,3,67
"age","Age: 18-29","2020-01-25",66,20,11,10,1,58
"age","Age: 18-29","2020-01-26",59,18,3,4,2,73
"age","Age: 18-29","2020-01-27",63,21,4,17,10,48
"age","Age: 18-29","2020-01-28",49,18,7,9,12,54
"age","Age: 18-29","2020-01-29",61,10,7,5,4,74
"age","Age: 18-29","2020-01-30",62,19,8,9,5,59
"age","Age: 18-29","2020-01-31",66,17,9,9,15,50
"age","Age: 18-29","2020-02-01",42,15,8,6,18,53
"age","Age: 18-29","2020-02-02",72,27,7,11,4,51
"age","Age: 18-29","2020-02-03",65,18,17,14,5,47
"age","Age: 18-29","2020-02-04",53,19,7,14,6,54
"age","Age: 18-29","2020-02-05",63,15,7,4,10,65
"age","Age: 18-29","2020-02-06",67,8,7,11,7,67
